text,label,split
R&D,other,train
:,question,train
Suggestion:,question,train
Date:,question,train
Licensee,answer,train
,question,train
Yes,question,train
No,question,train
597005708,other,train
R&D QUALITY IMPROVEMENT SUGGESTION/ SOLUTION FORM,header,train
Name / Phone Ext. :,question,train
"M. Hamann P. Harper, P. Martinez",answer,train
9/ 3/ 92,answer,train
R&D Group:,question,train
J. S. Wigand,answer,train
Supervisor / Manager,question,train
Discontinue coal retention analyses on licensee submitted product samples (Note : Coal Retention testing is not performed by most licensees. Other B&W physical measurements as ends stability and inspection for soft spots in ciparettes are thought to be sufficient measures to assure cigarette physical integrity. The proposed action will increase laboratory productivity . ),answer,train
Suggested Solutions (s) :,question,train
Delete coal retention from the list of standard analyses performed on licensee submitted product samples. Special requests for coal retention testing could still be submitted on an exception basis.,answer,train
Have you contacted your Manager/ Supervisor?,header,train
Manager Comments:,question,train
"Manager, please contact suggester and forward",answer,train
comments to the Quality Council.,answer,train
qip . wp,other,train
Brand:,question,train
Style:,question,train
PHOENIX,answer,train
Company:,question,train
Country:,question,train
Macket:,question,train
CYPRUS,answer,train
NICOSIA,answer,train
Weights,header,train
Adhesive:,header,train
Supplier(s),question,train
Color,question,train
Porosity,question,train
substance,question,train
Ecusta,answer,train
E.30639,answer,train
None,answer,train
(coresta),answer,train
Type,question,train
Overall,question,train
skip,question,train
Dimension,question,train
Positioning,question,train
Swift,answer,train
Other,other,train
N/A,answer,train
x,answer,train
Date:,question,train
Date:,question,train
620419245,other,train
Date:,question,train
Replaces:,question,train
05045,other,train
New,answer,train
Page 1 of 10,other,train
RESTRICTED BROWN & WILLIAMSON INTERNATIONAL TOBACCO PRODUCT SPECIFICATION,header,train
HLB- KS,answer,train
B. A. T. CYPRUS,answer,train
Place of Manufacture:,question,train
Licensee Ref. NO.:,question,train
CIGARETTE MAKING,header,train
Physical Characteristics,header,train
Overall Cigarette Length,question,train
Tobacco Rod Length,question,train
Filter Plug Length,question,train
Filter Plug Pressure Drop (unencap.),question,train
Filter Plug Pressure Drop encap.,question,train
Cigarette Circumference,question,train
Total Pressure Drop (unencap.),question,train
Total Pressure Drop (encap.),question,train
Tipping Length,question,train
Print Position (from filter end),question,train
Moisture content (ex-catcher),question,train
Filter ventilation Rate,question,train
84 mm,answer,train
64 mm,answer,train
20 mm,answer,train
56 mm,answer,train
56 mm,answer,train
24.75 mm,answer,train
90 mm,answer,train
110 mm,answer,train
25 mm,answer,train
27 mm,answer,train
13.5 %,answer,train
Nil %,answer,train
Total Cigt. Wt.,question,train
974 mg,answer,train
749 mg,answer,train
245 mg/cc,answer,train
Net Tob. Rod Density,question,train
Net Net Tobacco,question,train
Tipping and Tipping Application,question,train
Tipping Paper:,header,train
Supplier Code No(s).,question,train
Imitation Cork,answer,train
Perforation Type and No. of lines,question,train
Print Description,question,train
Brown on yellow,answer,train
Bobbin Width,question,train
Robbin Length,question,train
36 gm/ m2,answer,train
50 mm mm,answer,train
2700 m,answer,train
(Indicate N/A If Not Applicable),other,train
Supplier (s),question,train
Supplier Code No (s),question,train
T.K. 9220,answer,train
Printed Imitation cork,answer,train
Application Pattern:,header,train
Glue Pree Area,question,train
mm from mouth end,answer,train
mm x mm,answer,train
Prepared by:,question,train
M. HAMERTON / enm,answer,train
"May 1, 1985",answer,train
Approved by:,question,train
"Director of Technical Operations, Brown & Williamson International Tobacco",answer,train
"May 1, 1985",answer,train
"May 1, 1985",answer,train
DATE:,question,train
INITIATED,question,train
BY:,question,train
COMPLETION,question,train
COUNTRY:,question,train
PRODUCT:,question,train
BELGIUM,answer,train
BY:,question,train
DATE:,question,train
NOTES:,question,train
620429480,other,train
RECEIVED,question,train
SERVICE REQUEST FROM R & D BY INTERNATIONAL LICENSEE OPERATIONS,header,train
,other,train
REQUEST NO.:,question,train
25- 84,answer,train
"March 27, 1984",answer,train
P. H. HARPER PHH,answer,train
TARGET DATE:,question,train
"April 13, 1984",answer,train
LUCKY STRIKE Filter and VICEROY,answer,train
NATURE OF WORK:,question,train
